name,price
"PC Portable Asus VivoBook R540UB-DM257T 15.6""",399
"PC Ultra-Portable Asus ZenBook UX430UA-GV335T 14""",649
"PC Portable HP Omen 15-ax242nf 15.6""",699
"PC Portable HP 17-bs023nf 17.3""",364
"PC Hybride Asus ZenBook UX561UA-BO039T 15.6"" Tactile",899
"PC Portable HP 15-bs004nf 15.6""",392
"PC Portable Acer Aspire 5 A515-51G-50QS 15.6""",599
"PC Ultra-Portable Asus VivoBook S410UN-EB189T 14""",1109
"PC Ultra-Portable Asus VivoBook S401UF-EB191T 14""",
"PC Ultra-Portable HP Envy 13-ad113nf 13.3""",899
"PC Portable Asus ROG Zephyrus GM501GS-EI003T 15.6""",
"PC Ultra-Portable HP Spectre 13-af013nf 13.3"" Tactile",1259
"PC Portable MSI GV72 8RD-033FR 17.3"" Gaming",1039
"PC Portable HP Omen HP 17-an037nf 17.3"" Gaming",899
PC Portable Asus ZenBook Pro 15 UX580GD-BO001T 15.6” avec ScreenPad,1499
"PC Portable Asus ROG GL703GM-EE079T 17.3""",1249
"PC Portable HP Omen X 17-ap000nf 17.3"" Gaming",2289
"PC Portable Lenovo IdeaPad 320-15AST 80XV00D9FR 15.6""",249
"PC Ultra-Portable HP Spectre x360 Convertible 13-ae020nf 13.3"" Tactile",1499
"PC Portable Asus ROG G502VS-GZ142T 15.6""",1599
"PC Ultra-Portable 14-bs001nf 14""",199
"PC Ultra-Portable Lenovo Yoga 520-14IKBR 81C800FMFR 14""",549
"PC Portable HP 17-bs007nf 17.3""",699
"PC Portable Asus N705UN-GC130T 17.3""",799
"PC Portable Asus ROG Scar GL703GS-E5012T 17.3""",
"PC Portable Asus VivoBook N705UD-GC129T 17.3""",1109
"PC Ultra-Portable ZenbookPro-14-716512 14""",1109
"PC Ultra-Portable Asus R407UA-BV046T 14""",
"PC Portable HP Pavilion 17-ab308nf 17.3""",749
"PC Ultra-Portable Asus VivoBook S405UA-BV502T 14""",449
"PC Ultra-Portable Lenovo IdeaPad 120S-14IAP 81A500DBFR 14""",349
"PC Portable Asus ROG Griffin G703GI-E5083T 17.3""",2839
"PC Ultra-Portable HP Pavilion 14-bf010nf 14""",679
"PC Portable HP 15-bs002nf 15.6""",349
"PC Ultra-Portable Acer Swift 3 SF314-52-80A1 14""",799
"PC Portable Asus X510UF-EJ353T 15.6""",719
"PC Ultra-Portable Lenovo Yoga 720-13IKBR 81C3005JFR 13.3""",1109
"PC Ultra-Portable HP 14-bw014nf 14""",390
"PC Ultra-Portable Acer Swift 5 SF514-52T-80JY 14"" Tactile",959
"PC Ultra-Portable Asus ZenBook UX410UF-GV028T 14""",1039
"PC Hybride HP Pavilion x360 14-ba032nf 14"" Tactile",909
"PC Portable Asus VivoBook R504ZA-BR188T 15.6""",469
"PC Portable HP Envy Notebook 17-ae112nf 17.3""",
"PC Portable Lenovo IdeaPad 320-15ISK 15.6""",370
"PC Portable Lenovo IdeaPad 320S-15IKBR 15.6""",499
"PC Ultra-Portable HP 14-bp040nf 14""",469
"PC Portable Lenovo IdeaPad 320-17AST 80XW0078FR 17.3""",469
"PC Portable Lenovo IdeaPad 320-17ISK 80XJ004KFR 17.3""",
"PC Hybride HP Pavilion x360 14-ba009nf 14"" Tactile",979
"PC Portable MSI GT75VR 7RE-059FR 17.3"" Gaming",2394
"PC Portable Acer Aspire ES1-523-24HN 15.6""",270
"PC Ultra-Portable Swift 3 SF314-52-304P 14""",579
"PC Ultra-Portable Lenovo IdeaPad 120S-11IAP 11.6""",199
"PC Ultra-Portable Asus E406SA-BV153T 14""",349
"PC Portable Acer Aspire 3 A315-33-C2F6 15.6""",280
"PC Ultra-Portable Acer Aspire E14 E5-475-38XL 14""",449
"PC Portable Asus VivoBook S510UN-BQ083T 15.6""",799
"PC Hybride HP Spectre x360 15-ch002nf 15.6"" Tactile",1619
"PC Portable Acer Aspire 5 A515-51G-382U 15.6""",549
"PC Ultra-Portable Lenovo IdeaPad 320-14IKBN 80XK013RFR 14""",679
"PC Portable Asus N705UD-GC201T 17.3""",1279
"PC Hybride Asus VivoBook Flip TP401NA-BZ002T 14"" Tactile",349
"PC Ultra-Portable Lenovo IdeaPad 530S-14IKB 81EU005WFR 14""",879
"PC Portable Acer Aspire ES 17 ES1-732-P6XT 17.3""",342
"PC Ultra-Portable Lenovo Yoga 720-13IKBR 81C3005EFR 13.3""",809
"PC Portable HP 15-bs055nf 15.6""",562
"PC Ultra-Portable HP Envy 13-ad002nf 13.3""",999
"PC Ultra-Portable Lenovo IdeaPad 520S-14IKB 81BL00CHFR 14""",879
"Acer Predator PH317-51-73XK PC Portable Gamer 17"" FHD Noir (Intel Core i7, 8 Go de RAM, 1 To + SSD 128 Go, NVIDIA GeForce GTX 1050Ti, Windows 10)",1130
"PC Portable Acer Aspire 3 A315-21-94BS 15.6""",449
"Asustek 90NB0ET2-M03590 Ordinateur Portable Hybride 15,6"" Noir (Intel Core i7, 16 Go de RAM, Go, Nvidia GeForce GTX 1050, Windows 10 Pro) Clavier AZERTY français",1644
"PC Portable HP 15-bs009nf 15.6""",649
"PC Portable Asus ROG G701VIK-BA061T 17.3""",3199
"PC Portable Lenovo IdeaPad 320-15IKBN 15.6""",549
"PC Ultra-Portable Lenovo Yoga 720-13IKBR 81C3005GFR 13.3""",1039
"PC Portable Asus N705UN-GC057T 17.3""",1039
"PC Portable Acer Aspire 7 A717-71G-54E1 17.3"" Gaming",949
"Pack Fnac PC Ultra-Portable HP Pavilion 14-bf018nf 14"" + Housse + Souris sans fil X3000",
"PC Portable Asus R540UP-DM138T 15.6""",548
"PC Portable Acer Nitro 5 AN515-42-R5Q4 15.6"" Gaming",799
"PC Portable Asus R752LA-TY631T 17.3""",423
"PC Ultra-Portable Microsoft Surface Laptop 13.5"" Tactile Intel Core i5 8Go Ram 256 Go",1449
"PC Portable HP Notebook 15-bs503nf 15.6""",649
"PC Ultra-Portable Asus E203NA-FD084T 11.6""",259
"PC Ultra-Portable HP Envy 13-ad023nf 13.3""",935
"PC Portable HP 17-bs514nf 17.3""",399
"PC Ultra-Portable Microsoft Surface Laptop 13.5"" Tactile Intel Core i5 8 Go RAM 256 Go Bleu Cobalt",1899
"PC Portable Lenovo IdeaPad 330S-15IKB 81F5004FFR 15.6""",
"PC Portable Acer Aspire 5 A515-51G-35B4 15.6""",529
"PC Ultra-Portable HP Envy 13-ad017nf 13.3""",879
"PC Hybride HP x2 10-p032nf 10.1"" Tactile",399
"MSI GT75VR 7RF Titan Pro -063FR Ordinateur Portable Hybride 17,3"" Noir (Intel Core i7, 16 Go de RAM, 1 To, GeForce GTX 1080/8 Go GDDR5X, Windows 10 Home)",2575
"PC Portable Acer Aspire ES1-533-P9CR 15.6""",320
"PC Ultra-Portable Microsoft Surface Laptop 13.5"" Tactile Intel Core i7 16Go Ram 512 Go",2499
"HP EliteBook 1040 G3 - 14"" - Core i7 6600U - 16 Go RAM - 512 Go SSD",2695
"PC Hybride Asus ZenBook Flip S-7r8256-N2 13.3"" Tactile",1109
"PC Ultra-Portable Acer Switch 5 SW512-52P-58EN 12""",789
"PC Ultra-Portable Asus R407UB-BV089T 14""",569
"PC Portable Acer Predator Helios 300 PH317-52-519Y 17.3"" Gaming",1039
"PC Ultra-Portable HP Pavilion 14-bf013nf 14""",
"PC Ultra-Portable HP Envy 13-ad020nf 13.3""",1020
"PC Ultra-Portable Acer Aspire 1 A114-31-C27V 14""",219
"PC Portable Lenovo Legion Y520-15IKBN 80WK01CDFR 15.6""",899
"PC Ultra-Portable Asus R414UV-WX302T 14""",479
"PC Portable HP Omen 17-an022nf 17.3"" Gaming",1499
"PC Hybride HP Pavilion x360 14-ba023nf 14"" Tactile",879
"PC Ultra-Portable HP 14-bp016nf 14""",379
"PC Ultra-Portable Microsoft Surface Laptop 13.5"" Tactile Intel Core i5 4Go Ram 128 Go",920
